obsname	n_sur	n_pre	sratio	pratio	nlen	is_multimatch
DE SIMPSON	0.5	4.5	0.1111111111111111	9.0	1	False
DE GOMEZ	0.5	2.5	0.2	5.0	1	False
DE DE LA HOZ	0.5	2.5	0.2	5.0	1	False
DE GONZALES	0.5	2.5	0.2	5.0	1	False
DE GARCIA	0.5	2.5	0.2	5.0	1	False
DE DEL VALLE	0.5	2.5	0.2	5.0	1	False
DE DEL PINO	0.5	2.5	0.2	5.0	1	False
DE DE LAS CASAS	0.5	4.5	0.1111111111111111	9.0	1	False
DE DE LA BARRERA	0.5	2.5	0.2	5.0	1	False
DE DEL NINO JESUS	0.5	2.5	0.2	5.0	1	False
DEL NINO JESUS	2.5	0.5	5.0	0.2	1	False
DE LA ROSA	6.5	0.5	13.0	0.07692307692307693	1	False
DE DE	0.5	2.5	0.2	5.0	1	False
DE LA TORRE	2.5	0.5	5.0	0.2	1	False
DE SEMMA	0.5	2.5	0.2	5.0	1	False
DEL_CORRAL	8.5	0.5	17.0	0.058823529411764705	2	True
DE_LA_HOZ	6.5	0.5	13.0	0.07692307692307693	3	True
DEL_VALLE	6.5	0.5	13.0	0.07692307692307693	2	True
DE_VIGO	6.5	0.5	13.0	0.07692307692307693	2	True
DEL_RIO	4.5	0.5	9.0	0.1111111111111111	2	True
DE_LAS_CASAS	4.5	0.5	9.0	0.1111111111111111	3	True
DE_LA_BARRERA	4.5	0.5	9.0	0.1111111111111111	3	True
DE_LA_MORA	4.5	0.5	9.0	0.1111111111111111	3	True
DEL_PINO	4.5	0.5	9.0	0.1111111111111111	2	True
DEL_BOSQUE	2.5	0.5	5.0	0.2	2	True
DEL_ROZAL	2.5	0.5	5.0	0.2	2	True
DEL_CORAL	2.5	0.5	5.0	0.2	2	True
DE_LA_GUARDIA	2.5	0.5	5.0	0.2	3	True
DEL_ARCO	2.5	0.5	5.0	0.2	2	True
DE_LA_CALLE	2.5	0.5	5.0	0.2	3	True
DE_LA_CUEVA	2.5	0.5	5.0	0.2	3	True
DE_LA_OSSA	2.5	0.5	5.0	0.2	3	True
DE_LEON	2.5	0.5	5.0	0.2	2	True
DE_LA_CRUZ	2.5	0.5	5.0	0.2	3	True
DE_LA_ESPRIELLA	2.5	0.5	5.0	0.2	3	True
DE_LA_VEGA	2.5	0.5	5.0	0.2	3	True
DE_LA_PARRA	2.5	0.5	5.0	0.2	3	True
DE_LA_ROCHE	2.5	0.5	5.0	0.2	3	True
DE_DE_LOS_RIOS	0.5	2.5	0.2	5.0	1	False
DE_LA_PAZ	2.5	0.5	5.0	0.2	1	False
DE_SIMPSON	0.5	4.5	0.1111111111111111	9.0	1	False
DE_GOMEZ	0.5	2.5	0.2	5.0	1	False
DE_DE_LA_HOZ	0.5	2.5	0.2	5.0	1	False
DE_GONZALES	0.5	2.5	0.2	5.0	1	False
DE_GARCIA	0.5	2.5	0.2	5.0	1	False
DE_DEL_VALLE	0.5	2.5	0.2	5.0	1	False
DE_DEL_PINO	0.5	2.5	0.2	5.0	1	False
DE_DE_LAS_CASAS	0.5	4.5	0.1111111111111111	9.0	1	False
DE_DE_LA_BARRERA	0.5	2.5	0.2	5.0	1	False
DE_DEL_NINO_JESUS	0.5	2.5	0.2	5.0	1	False
DEL_NINO_JESUS	2.5	0.5	5.0	0.2	1	False
DE_LA_ROSA	6.5	0.5	13.0	0.07692307692307693	1	False
DE_DE	0.5	2.5	0.2	5.0	1	False
DE_LA_TORRE	2.5	0.5	5.0	0.2	1	False
DE_SEMMA	0.5	2.5	0.2	5.0	1	False
